id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,id_planta_agrupado,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
33,270403150,4,SALAMANCA           ,404,GUINDALERA          ,11018870,42500,AVENIDA                 ,AMERICA                                           ,2,28028,"442586,58","4476524,51",1,Puerta Calle,1,Abierto,30,PB,HONTANARES,1,Anual,1,Abierta,21.06,21.06,04/04/2014,11018870,42500,AVENIDA                 ,AMERICA                                           ,2,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,9,9.0,27,  
34,270078567,4,SALAMANCA           ,404,GUINDALERA          ,11018555,35200,CALLE                   ,ALONSO HEREDIA                                    ,25,28028,"442986,58","4476379,5",1,Puerta Calle,1,Abierto,10,PB,BAR MARISQUERIA LUIS,1,Anual,1,Abierta,11.16,11.16,04/04/2014,11018555,35200,CALLE                   ,ALONSO HEREDIA                                    ,25,  ,Calle peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,4,0.0,14,  
40,40002808,4,SALAMANCA           ,401,RECOLETOS           ,11014033,85200,CALLE                   ,AYALA                                             ,14,28001,"441656,59","4475470,52",1,Puerta Calle,1,Abierto,10,PB,WAGABOO,1,Anual,1,Abierta,25.48,25.48,07/04/2014,11014033,85200,CALLE                   ,AYALA                                             ,14,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,1,1.0,8,8.0,24,  
41,270495851,4,SALAMANCA           ,401,RECOLETOS           ,11013652,88904333,CALLE                   ,ALCALA                                            ,59,28014,"441350,59","4474585,52",1,Puerta Calle,1,Abierto,10,PB,THE JAMES JOYCE IRISH PUB,1,Anual,1,Abierta,21.04,21.04,07/04/2014,11013652,88904333,CALLE                   ,ALCALA                                            ,59,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,6,6.0,24,  
50,180000457,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,20150818,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,5,28031,"447240,53","4470141,43",1,Puerta Calle,1,Abierto,10,PB,LA CHOZITA,1,Anual,1,Abierta,84.68,64.99,10/04/2014,20150818,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,5,  ,Plaza peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,27,21.0,92,  
51,270076142,4,SALAMANCA           ,404,GUINDALERA          ,11016970,88904333,CALLE                   ,ALCALA                                            ,225,28028,"443565,58","4475688,49",1,Puerta Calle,1,Abierto,10,PB,EL NUEVO RINCÓN DE JAÉN,1,Anual,1,Abierta,21.66,21.66,14/04/2014,11016970,88904333,CALLE                   ,ALCALA                                            ,225,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,8,8.0,25,  
52,270071068,4,SALAMANCA           ,402,GOYA                ,11014645,88904333,CALLE                   ,ALCALA                                            ,127,28009,"442347,58","4474952,51",1,Puerta Calle,1,Abierto,20,PB,VIENA CAPELLANES,1,Anual,1,Abierta,12.43,12.43,14/04/2014,11014645,88904333,CALLE                   ,ALCALA                                            ,127,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,3,3.0,9,  
59,40001037,4,SALAMANCA           ,401,RECOLETOS           ,11014537,88904333,CALLE                   ,ALCALA                                            ,105,28009,"442069,58","4474794,51",1,Puerta Calle,1,Abierto,20,PB,BAR-RESTAURANTE,1,Anual,1,Abierta,26.86,26.86,14/04/2014,11014537,88904333,CALLE                   ,ALCALA                                            ,105,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,10,10.0,20,  
60,180000598,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,11130825,581100,CALLE                   ,PEÑA DE VARGAS                                    ,7,28031,"447266,53","4469503,43",1,Puerta Calle,1,Abierto,10,PB,EL RINCON DEL TIO PEPE,1,Anual,1,Abierta,34.07,34.07,14/04/2014,11130825,581100,CALLE                   ,PEÑA DE VARGAS                                    ,7,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,8,8.0,32,  
66,200000837,20,SAN BLAS-CANILLEJAS ,2001,SIMANCAS            ,31038473,505500,CALLE                   ,MIERES                                            ,13,28037,"446593,56","4475579,45",1,Puerta Calle,1,Abierto,60,PB,BAR JOSUE,1,Anual,1,Abierta,10.23,10.23,14/04/2014,31038473,505500,CALLE                   ,MIERES                                            ,13,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,01:00:00,10:00:00,00:00:00,0,0.0,4,0.0,16,  
67,280067055,20,SAN BLAS-CANILLEJAS ,2006,REJAS               ,20144821,190550,COLONIA                 ,OCCIDENTE                                         ,6,28022,"449558,56","4477260,41",1,Puerta Calle,1,Abierto,10,PB,RESTAURANTE BAR TORRES,1,Anual,1,Abierta,36.78,36.78,14/04/2014,20144821,190550,COLONIA                 ,OCCIDENTE                                         ,6,  ,Acera,08:00:00,00:00:00,08:00:00,00:00:00,08:00:00,00:00:00,08:00:00,00:00:00,0,0.0,12,12.0,47,  
69,270380946,4,SALAMANCA           ,401,RECOLETOS           ,11013848,88904333,CALLE                   ,ALCALA                                            ,89,28009,"441877,58","4474703,52",1,Puerta Calle,1,Abierto,10,PB,EL ARBOL Y LA TOSTA,1,Anual,1,Abierta,5.04,5.04,15/04/2014,11013848,88904333,CALLE                   ,ALCALA                                            ,89,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,8,8.0,24,  
73,280060978,18,VILLA DE VALLECAS   ,1803,ENSANCHE DE VALLECAS,31035268,31000474,AVENIDA                 ,ENSANCHE DE VALLECAS                              ,44,28051,"448326,52","4468742,41",1,Puerta Calle,1,Abierto,20,PB,RESTAURANTE 40 & CUATRO,1,Anual,1,Abierta,97.2,97.2,24/04/2014,31033784,31000519,CALLE                   ,ENTREPEÑAS                                        ,49,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,30,30.0,120,  
74,270202022,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,11130120,716700,CALLE                   ,SIERRA GORDA                                      ,25,28031,"447532,53","4470237,43",1,Puerta Calle,1,Abierto,10,PB,BAR-RESTAURANTE,1,Anual,1,Abierta,104.6,60.6,24/04/2014,31054352,716700,CALLE                   ,SIERRA GORDA                                      ,25, B,Calle peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,30,16.0,112,  
77,170000836,17,VILLAVERDE          ,1704,LOS ROSALES         ,11126886,230650,PLAZA                   ,CHOZAS DE CANALES                                 ,1,28021,"441337,53","4467033,5",1,Puerta Calle,1,Abierto,20,PB,BAR DONDE SIEMPRE,1,Anual,1,Abierta,64.12,64.12,24/04/2014,11126886,230650,PLAZA                   ,CHOZAS DE CANALES                                 ,1,  ,Plaza peatonal,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,21,21.0,80,  
79,270228707,17,VILLAVERDE          ,1701,SAN ANDRES          ,11124826,18100,PASEO                   ,ALBERTO PALACIOS                                  ,20,28021,"439581,54","4466421,52",1,Puerta Calle,1,Abierto,10,PB,BURGUER CAROVI,1,Anual,1,Abierta,29.13,29.13,24/04/2014,11124826,18100,PASEO                   ,ALBERTO PALACIOS                                  ,20,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,10,10.0,40,  
80,170000967,17,VILLAVERDE          ,1705,LOS ANGELES         ,11129020,426685,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,44,28041,"440773,55","4467749,51",1,Puerta Calle,1,Abierto,10,PB,A GAIVOTIÑA II,1,Anual,1,Abierta,111.3,111.3,24/04/2014,11129020,426685,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,44,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,16,10.0,56,  
81,170000259,17,VILLAVERDE          ,1705,LOS ANGELES         ,11128297,733450,PASEO                   ,TALLERES                                          ,2,28021,"440572,54","4466762,51",1,Puerta Calle,1,Abierto,10,PB,PEÑA DE FRANCIA,1,Anual,1,Abierta,32.4,32.4,24/04/2014,11128297,733450,PASEO                   ,TALLERES                                          ,2,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,15,15.0,60,  
